"Organisation Name","Town/City","County","Type & Rating","Route"
"21st Architecture Ltd","London",,"Worker (A rating)","Skilled Worker"
"21st Club Limited","London",,"Worker (A rating)","Skilled Worker"
"22 Hotel Management Limited","London",,"Worker (A rating)","Skilled Worker"
"24 7 Property Maintenance Ltd","London",,"Worker (A rating)","Skilled Worker"
"24 Seven UK Limited","London",,"Worker (A rating)","Skilled Worker"
"24Haymarket Limited","London",,"Worker (A rating)","Skilled Worker"
"24SQ LIMITED","London",,"Worker (A rating)","Skilled Worker"
"25 Cabot Square","London",,"Worker (A rating)","Skilled Worker"
"28 Trading Limited","London",,"Worker (A rating)","Skilled Worker"
"284 SERVICES LIMITED","London",,"Worker (A rating)","Skilled Worker"
"29FORWARD Ltd","London",,"Worker (A rating)","Skilled Worker"
"2A PRODUCTIONS LIMITED","London",,"Worker (A rating)","Skilled Worker"
"2CHE DESIGN LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"2CV Ltd","London",,"Worker (A rating)","Skilled Worker"
"2DT UK LTD","London",,"Worker (A rating)","Skilled Worker"
"2E Accountants Ltd","London","London","Worker (A rating)","Skilled Worker"
"2E Apostille Services Ltd","London",,"Worker (A rating)","Skilled Worker"
"2HE BROVE LTD","London",,"Worker (A rating)","Skilled Worker"
"2R Capital Investment Management Limited","London",,"Worker (A rating)","Skilled Worker"
"2R4 LTD","London",,"Worker (A rating)","Skilled Worker"
"2RSQ Services Ltd","London","England","Worker (A rating)","Skilled Worker"
"2THEWORLD LTD","London",,"Worker (A rating)","Skilled Worker"
"2wayz services ltd","LONDON",,"Worker (A rating)","Skilled Worker"
"3 Copper Pots Limited","London",,"Worker (A rating)","Skilled Worker"
"3 Henrietta Street Limited","London",,"Worker (A rating)","Skilled Worker"
"3 Peaks Health Limited","London",,"Worker (A rating)","Skilled Worker"
"30 GS Management Services LTD","London",,"Worker (A rating)","Skilled Worker"
"31 Media Limited","London",,"Worker (A rating)","Skilled Worker"
"33 Herbs Limited T/A Swiss Butter","London",,"Worker (A rating)","Skilled Worker"
"35TH STREET LIMITED","London",,"Worker (A rating)","Skilled Worker"
"36 South Capital Advisors LLP","London",,"Worker (A rating)","Skilled Worker"
"360 DIGI MARKETING LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"360 health ltd","london","London","Worker (A rating)","Skilled Worker"
"360 Leaders Ltd","London",,"Worker (A rating)","Skilled Worker"
"365 Business Finance","London","London","Worker (A rating)","Skilled Worker"
"365 Divine Care LTD","London",,"Worker (A rating)","Skilled Worker"
"365 IT PRO LIMITED","London",,"Worker (A rating)","Skilled Worker"
"38 Degrees","London",,"Worker (A rating)","Skilled Worker"
"38 Entertainment Group Ltd","London",,"Worker (A rating)","Skilled Worker"
"38 Investments Limited","London",,"Worker (A rating)","Skilled Worker"
"3812 Gallery (UK) Ltd","London",,"Worker (A rating)","Skilled Worker"
"39 Essex Chambers (Services) Limited","London",,"Worker (A rating)","Skilled Worker"
"3A Care (London) Ltd","Watford",,"Worker (A rating)","Skilled Worker"
"3A TELECOM CONSULTANCY LTD","London",,"Worker (A rating)","Skilled Worker"
"3AK Greenstreet Limited","London",,"Worker (A rating)","Skilled Worker"
"3AK London Limited","London",,"Worker (A rating)","Skilled Worker"
"3B DIGITAL LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"3B sourcing UK Ltd","London",,"Worker (A rating)","Skilled Worker"
"3CS Holdings PLC","London",,"Worker (A rating)","Skilled Worker"
"3D BUILDING HOME LTD","London",,"Worker (A rating)","Skilled Worker"
"3d Innovations Ltd.","London",,"Worker (A rating)","Skilled Worker"
"3-D Matrix UK Limited","London",,"Worker (A rating)","Skilled Worker"
"3-D Matrix UK Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"3D People Limited","London",,"Worker (A rating)","Skilled Worker"
"3D TRADE LTD"," Croydon, London",,"Worker (A rating)","Skilled Worker"
"3DC Ltd","London","England","Worker (A rating)","Skilled Worker"
"3DReid Limited","London",,"Worker (A rating)","Skilled Worker"
"3H Partners Limited T/A 3HORIZONS","London","London","Worker (A rating)","Skilled Worker"
"3I CONSTRUCTIONS LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"3i Infotech (UK) Limited","London","England","Worker (A rating)","Skilled Worker"
"3i plc","London",,"Worker (A rating)","Skilled Worker"
"3i plc","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"3i plc","London",,"Temporary Worker (A rating)","Global Business Mobility: Graduate Trainee"
"3ie UK","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"3ie UK","London",,"Worker (A rating)","Skilled Worker"
"3KOBROS LIMITED","London",,"Worker (A rating)","Skilled Worker"
"3mse Ltd","London","Select a State","Worker (A rating)","Skilled Worker"
"3RD RAIL RESOURCE LTD","London",,"Worker (A rating)","Skilled Worker"
"3RDi Limited","London",,"Worker (A rating)","Skilled Worker"
"3s commercial ltd","London",,"Worker (A rating)","Skilled Worker"
"3S Money Club Limited","london",,"Worker (A rating)","Skilled Worker"
"3Search Limited","London",,"Worker (A rating)","Skilled Worker"
"3X Architecture LLP","London",,"Worker (A rating)","Skilled Worker"
"4 Eyes Capital Limited","London",,"Worker (A rating)","Skilled Worker"
"4 Fantastic Ltd","London",,"Worker (A rating)","Skilled Worker"
"4 SEASONS","London",,"Worker (A rating)","Skilled Worker"
"41 Commercial Street Ltd T/A Xi'an BiangBiang Noodles","London",,"Worker (A rating)","Skilled Worker"
"415 PALAETTE LTD","London","England","Worker (A rating)","Skilled Worker"
"419STUDIOS LTD","GREATER LONDON",,"Worker (A rating)","Skilled Worker"
"42 Bruton Limited","London",,"Worker (A rating)","Skilled Worker"
"42 M&P Ltd","London",,"Temporary Worker (A rating)","Creative Worker"
"44 Energy Ltd","London",,"Worker (A rating)","Global Business Mobility: UK Expansion Worker"
"444 Rentals Ltd","Manor Park","London","Worker (A rating)","Skilled Worker"
"45R-LD LIMITED","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"4BIO Ventures Management Limited","London",,"Worker (A rating)","Skilled Worker"
"4C Associates Ltd","London",,"Worker (A rating)","Skilled Worker"
"4C EUROPE UK LTD","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"4C EUROPE UK LTD","London",,"Worker (A rating)","Skilled Worker"
"4C Hotels - Minories LLP","London",,"Worker (A rating)","Skilled Worker"
"4C Hotels Victoria LLP","London",,"Worker (A rating)","Skilled Worker"
"4C Hotels-Camden Lock LLP","London",,"Worker (A rating)","Skilled Worker"
"4Demand Ltd","London",,"Worker (A rating)","Skilled Worker"
"4FEET RETAIL LTD","London",,"Worker (A rating)","Skilled Worker"
"4iApps Solutions Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"4iApps Solutions Ltd","London",,"Worker (A rating)","Skilled Worker"
"4K Networks Ltd","London",,"Worker (A rating)","Skilled Worker"
"4M LONDON LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"4M LONDON LIMITED","LONDON",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"4most (Europe) Limited","London",,"Worker (A rating)","Skilled Worker"
"4P4 LTD","London",,"Worker (A rating)","Skilled Worker"
"4RDigital Limited","London",,"Worker (A rating)","Skilled Worker"
"4Site Recruitment limited","London",,"Worker (A rating)","Skilled Worker"
"5 A DAY (LONDON) LTD","Barking",,"Worker (A rating)","Skilled Worker"
"5 E Ltd","London",,"Worker (A rating)","Skilled Worker"
"5 Hertford Street","London",,"Worker (A rating)","Skilled Worker"
"5 Star Fruit and Veg London Ltd","Ilford","Essex","Worker (A rating)","Skilled Worker"
"500 Degrees Ferndale Road Ltd"," London,",,"Worker (A rating)","Skilled Worker"
"500 Degrees Herne Hill Ltd","London",,"Worker (A rating)","Skilled Worker"
"515 Capital Limited","London",,"Worker (A rating)","Skilled Worker"
"53 Red Lion Ltd","London",,"Worker (A rating)","Skilled Worker"
"54 Capital Ltd","London",,"Worker (A rating)","Skilled Worker"
"54 Queens Gate Hotel Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"54 Queen's Gate Hotel Limited","London",,"Worker (A rating)","Skilled Worker"
"542 Digital Limited","London",,"Worker (A rating)","Skilled Worker"
"59 Productions","London",,"Worker (A rating)","Skilled Worker"
"5app Ltd","London",,"Worker (A rating)","Skilled Worker"
"5Q MEDICS LTD","London",,"Worker (A rating)","Skilled Worker"
"5th Studio Ltd.","London",,"Worker (A rating)","Skilled Worker"
"6 Bones Limited trading as Dirty Bones","London",,"Worker (A rating)","Skilled Worker"
"6 Degrees Capital LLP","London",,"Worker (A rating)","Skilled Worker"
"6 Degrees Global Limited","London",,"Worker (A rating)","Skilled Worker"
"6 TILL LATE LTD","London",,"Worker (A rating)","Skilled Worker"
"60 Decibels, Inc","London",,"Worker (A rating)","Skilled Worker"
"62 MALL MANAGEMENT LIMITED","London",,"Worker (A rating)","Skilled Worker"
"64 COMPUTERS LTD","LONDON","MIDDLESEX","Worker (A rating)","Skilled Worker"
"65 Equity Partners Management (UK) Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"65 Equity Partners Management (UK) Limited","London",,"Worker (A rating)","Skilled Worker"
"663 Design Ltd","London",,"Worker (A rating)","Skilled Worker"
"67 Pall Mall Ltd","London",,"Worker (A rating)","Skilled Worker"
"6a ltd.","London","Greater London","Worker (A rating)","Skilled Worker"
"6sense Insights UK Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"6sense Insights UK Ltd","London",,"Worker (A rating)","Skilled Worker"
"7 COLOR UK LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"7 HOPES LTD","London",,"Worker (A rating)","Skilled Worker"
"7 SKY SPA LTD","London","England","Worker (A rating)","Skilled Worker"
"720 Management Limited","London",,"Worker (A rating)","Skilled Worker"
"720 Management Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"750mph Limited","London",,"Worker (A rating)","Skilled Worker"
"76 Harley Street Ltd","London","UK","Worker (A rating)","Skilled Worker"
"77 Diamonds Limited","LONDON",,"Worker (A rating)","Skilled Worker"
"77 FOODS UK LTD","London",,"Worker (A rating)","Skilled Worker"
"777 Asset Management Limited","London",,"Worker (A rating)","Skilled Worker"
"7Click Network Ltd","London",,"Worker (UK Expansion Worker: Provisional)","Global Business Mobility: UK Expansion Worker"
"7Dxperts UK Ltd","London",,"Worker (A rating)","Skilled Worker"
"7Ridge Limited","London",,"Worker (A rating)","Skilled Worker"
"7th Sense Research UK Limited","London",,"Worker (A rating)","Skilled Worker"
"7TO11 GROCERS LIMITED","London",,"Worker (A rating)","Skilled Worker"
"8 Slice Moon Limited T/A Hamro Chautari","Harrow","London","Worker (A rating)","Skilled Worker"
"85 Piccadilly Ltd","London","Middlesex","Worker (A rating)","Skilled Worker"
"8668 Ltd T/A Rainbow Bridge","Londonderry",,"Worker (A rating)","Skilled Worker"
"88 Trading Limited","London",,"Worker (A rating)","Skilled Worker"
"89 BILLIONS THAI THERAPY LTD","ISLINGTON,LONDON",,"Worker (A rating)","Skilled Worker"
"89up Ltd","London",,"Worker (A rating)","Skilled Worker"
"8th Day Strategy Ltd","London",,"Worker (A rating)","Skilled Worker"
"8th Light Ltd","London",,"Worker (A rating)","Skilled Worker"
"8th Light Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"9 Cuisines Limited","London",,"Worker (A rating)","Skilled Worker"
"928 Property Limited","London","Greater London","Worker (A rating)","Skilled Worker"
"93digital","London",,"Worker (A rating)","Skilled Worker"
"94 Group Limited","London",,"Worker (A rating)","Skilled Worker"
"96 Harley Street Limited","London",,"Worker (A rating)","Skilled Worker"
"98 Land and House Company","LONDON",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"98 Land and House Company","LONDON",,"Worker (A rating)","Skilled Worker"
"9900 Capital Ltd","London",,"Worker (A rating)","Skilled Worker"
"9fin Limited","London",,"Worker (A rating)","Skilled Worker"
"A & A FOODS (LONDON) LIMITED","Romford","Essex","Worker (A rating)","Skilled Worker"
"A & A Himallari Ltd","London",,"Worker (A rating)","Skilled Worker"
"A & D Hope Limited","London",,"Worker (A rating)","Skilled Worker"
"A & J Buna Ltd","London",,"Worker (A rating)","Skilled Worker"
"A & M developer","London",,"Worker (A rating)","Skilled Worker"
"A & S HAULAGE LTD","London",,"Worker (A rating)","Skilled Worker"
"A & S Mayfair Investments Ltd","London",,"Worker (A rating)","Skilled Worker"
"A & Z Trading Limited T/A Kaspas Desserts","London",,"Worker (A rating)","Skilled Worker"
"A 2 Z Windows Limited","London",,"Worker (A rating)","Skilled Worker"
"A A HOMES AND HOUSING (EXCHANGE COURT) LIMITED","London",,"Worker (A rating)","Skilled Worker"
"A A HOMES AND HOUSING (PREMIER) LIMITED","London",,"Worker (A rating)","Skilled Worker"
"A A R CARS LIMITED","London",,"Worker (A rating)","Skilled Worker"
"A B Dyne Motors Ltd","London",,"Worker (A rating)","Skilled Worker"
"A B HALAL LIMITED","London",,"Worker (A rating)","Skilled Worker"
"A City Law Firm Ltd","London","Greater London","Worker (A rating)","Skilled Worker"
"A CLASS  NURSERY  LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"A Class Nursery Ltd","London",,"Worker (A rating)","Skilled Worker"
"A Cloud Guru Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"A Cloud Guru Ltd","London",,"Worker (A rating)","Skilled Worker"
"A Collected Man","London",,"Worker (A rating)","Skilled Worker"
"A Creative Cog Ltd","London",,"Worker (A rating)","Skilled Worker"
"A D WILLIAMS & CO LTD","London",,"Worker (A rating)","Skilled Worker"
"A F M EXPRESS LTD","London",,"Worker (A rating)","Skilled Worker"
"A G & E S Ltd","London",,"Worker (A rating)","Skilled Worker"
"A G Supply Solutions Ltd","London",,"Worker (A rating)","Skilled Worker"
"A GROCERY LIMITED","London",,"Worker (A rating)","Skilled Worker"
"A H & Z ASSOCIATES LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"A Holt and Sons LTD","London",,"Worker (A rating)","Skilled Worker"
"A INTERIORS LIMITED","London",,"Worker (A rating)","Skilled Worker"
"A is for Architecture Ltd","LONDON",,"Worker (A rating)","Skilled Worker"
"A J Jones & Co Legal Services Ltd","London",,"Worker (A rating)","Skilled Worker"
"A K GROCER & HALAL MEAT LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"A KHALIK PROPERTIES LIMITED","London","England","Worker (A rating)","Skilled Worker"
"A Love Supreme Limited","London",,"Worker (A rating)","Skilled Worker"
"A M QUALITY HALAL MEAT LTD","London",,"Worker (A rating)","Skilled Worker"
"A Majeed Car paint","London","Tottenham","Worker (A rating)","Skilled Worker"
"A Nelson & Co Ltd","London",,"Worker (A rating)","Skilled Worker"
"A Nelson & Co Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"A Number of Names Limited","London","London","Worker (A rating)","Skilled Worker"
"A P Food Express","London",,"Worker (A rating)","Skilled Worker"
"A Patel T/A Mail Boxes Etc Croydon","London",,"Worker (A rating)","Skilled Worker"
"A R FOODS & WINE (UK) LTD","London",,"Worker (A rating)","Skilled Worker"
"A R PARMAR LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"A R VISION LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"A RUBANI LTD","London,",,"Worker (A rating)","Skilled Worker"
"A S SOLUTIONS LONDON LTD","London",,"Worker (A rating)","Skilled Worker"
"A S Store","London",,"Worker (A rating)","Skilled Worker"
"A Star Care","London",,"Worker (A rating)","Skilled Worker"
"A T & C PROFESSIONAL SYSTEMS LIMITED","London",,"Worker (A rating)","Skilled Worker"
"A T Kearney Limited","London",,"Worker (A rating)","Skilled Worker"
"A T Kearney Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"A to E Training and Solutions Ltd","London",,"Worker (A rating)","Skilled Worker"
"A to Z Farsi Ltd","London","London","Worker (A rating)","Skilled Worker"
"A V Stone UK Ltd","London",,"Worker (A rating)","Skilled Worker"
"A Wong Limited","London",,"Worker (A rating)","Skilled Worker"
"A Y & J Solicitors","London",,"Worker (A rating)","Skilled Worker"
"A&A  Associates (London) Limited","London",,"Worker (A rating)","Skilled Worker"
"A&A COMMUNICATION LTD","London",,"Worker (A rating)","Skilled Worker"
"A&A ENTERPRISES LONDON LTD","London",,"Worker (A rating)","Skilled Worker"
"A&A Halal Meat and Grocery Limited","London",,"Worker (A rating)","Skilled Worker"
"A&B ANSARI LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"A&B Building & Maintenance Ltd","London",,"Worker (A rating)","Skilled Worker"
"A&B ELECTRICAL CONTRACTORS LIMITED","Ilford","London","Worker (A rating)","Skilled Worker"
"A&B GLOBAL LTD","London",,"Worker (A rating)","Skilled Worker"
"A&B Tech Solution and Services Ltd","Fitzrovia","London","Worker (A rating)","Skilled Worker"
"A&D Food Retail Ltd","London",,"Worker (A rating)","Skilled Worker"
"A&F ASSOCIATES BD LTD","London",,"Worker (A rating)","Skilled Worker"
"A&F Tutors","London",,"Worker (A rating)","Skilled Worker"
"A&G LONDON PRIVATE LTD T/A SUBWAY","IPSWICH",,"Worker (A rating)","Skilled Worker"
"A&H Pizza UK LTD T/A Dominos Pizza","London",,"Worker (A rating)","Skilled Worker"
"A&J PROPERTY & ANIMATION LTD","London",,"Worker (A rating)","Skilled Worker"
"A&K Courier Services Ltd","London",,"Worker (A rating)","Skilled Worker"
"A&M Capital Advisors Europe, LLP","London",,"Worker (A rating)","Skilled Worker"
"A&Q Partnership (London) Ltd","London",,"Worker (A rating)","Skilled Worker"
"A&R LONDON LTD","London",,"Worker (A rating)","Skilled Worker"
"A&R Properties (London) Ltd","Walthamstow",,"Worker (A rating)","Skilled Worker"
"A&S FOOD AND DRINK LTD","London",,"Worker (A rating)","Skilled Worker"
"A&S MART LTD","London",,"Worker (A rating)","Skilled Worker"
"A&S NETWORK ENTERPRISES LTD","London",,"Worker (A rating)","Skilled Worker"
"A&T STAFFING LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"A&W CONSTRUCTION AND RENOVATION LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"A&Y London Limited","London","UNITED KINGDOM","Worker (A rating)","Skilled Worker"
"A. Dakri and Co Limited trading as Greenleafe Hotel","London",,"Worker (A rating)","Skilled Worker"
"A. NUGUMAN LTD","London",,"Worker (A rating)","Skilled Worker"
"A.A Automotive Dealership Limited","London",,"Worker (A rating)","Skilled Worker"
"A.B. Hotels (The Arch London) Limited","London",,"Worker (A rating)","Skilled Worker"
"A.B. Hotels (The Arch London) Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"A.C.T. London Limited","London",,"Worker (A rating)","Skilled Worker"
"A.G.E. & CO. COMPANY LIMITED T/A THE RUG","London",,"Worker (A rating)","Skilled Worker"
"A.H.P. MEDICAL SUPPLIES LTD","London",,"Worker (A rating)","Skilled Worker"
"A.J. FAIRLEE LIMITED","London",,"Worker (A rating)","Skilled Worker"
"A.J.Armstrong & Sons Ltd","Maghera","Co.Londonderry","Worker (A rating)","Skilled Worker"
"A.K BUILDER LONDON LTD","Croydon",,"Worker (A rating)","Skilled Worker"
"A.L.S Hotels Limited t/a King Solomon Hotel","London",,"Worker (A rating)","Skilled Worker"
"A.M. Best Europe Rating Services Limited","London",,"Worker (A rating)","Skilled Worker"
"A.M. Best Europe Rating Services Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"A.M. LONDON FASHION LTD","Manchester",,"Worker (A rating)","Skilled Worker"
"A.M. Nomikos & Son (UK) Ltd","London",,"Worker (A rating)","Skilled Worker"
"A.M. Qattan Foundation","London",,"Worker (A rating)","Skilled Worker"
"A.M. Qattan Foundation","London",,"Temporary Worker (A rating)","Creative Worker"
"A.M. Qattan Foundation","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"A.N.G.Medics LTD","Ilford","GREATER LONDON","Worker (A rating)","Skilled Worker"
"A.O.K KITCHEN (MARYLEBONE) LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"A.Poortman (London) Limited Trading AGT Poortman","London",,"Worker (A rating)","Skilled Worker"
"A.S. Brill & Co Ltd","London",,"Worker (A rating)","Skilled Worker"
"A.S.I. (Research) Limited","London",,"Worker (A rating)","Skilled Worker"
"A.S.Zanettos & Co. Ltd","London",,"Worker (A rating)","Skilled Worker"
"A.Vincent Solicitors Limited","Woolwich","London","Worker (A rating)","Skilled Worker"
"A.Williams & Co. (Solicitors)","LONDON","london","Worker (A rating)","Skilled Worker"
"A.Z Investements Limited","London",,"Worker (A rating)","Skilled Worker"
"A1 Double Glazing London Ltd","Essex",,"Worker (A rating)","Skilled Worker"
"A1 IRONING SERVICE LTD","LONDON","ENGLAND","Worker (A rating)","Skilled Worker"
"A1 KEBABISH GRILL LIMITED","London",,"Worker (A rating)","Skilled Worker"
"A1 Repair Ltd","London",,"Worker (A rating)","Skilled Worker"
"A1 Woodgreen Retail Limited","London",,"Worker (A rating)","Skilled Worker"
"A212 Electric and Gas Ltd","London","Greater London","Worker (A rating)","Skilled Worker"
"A2A SOLUTIONS","London",,"Worker (A rating)","Skilled Worker"
"A2M Facilities Ltd","London",,"Worker (A rating)","Skilled Worker"
"A2Z CAR SOLUTIONS LTD","London",,"Worker (A rating)","Skilled Worker"
"A2Z CONSTRUCTION LONDON LTD","Colonbrook","slough","Worker (A rating)","Skilled Worker"
"A2Z CONSULTANCY LONDON LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"A2Z SERVICES LONDON LTD","London",,"Worker (A rating)","Skilled Worker"
"A2Z STAFFING SOLUTIONS LIMITED"," London","England","Worker (A rating)","Skilled Worker"
"A2Z Works Limited","London","England","Worker (A rating)","Skilled Worker"
"A3 FOOD & BEVERAGE LTD","London",,"Worker (A rating)","Skilled Worker"
"A3 Resources Limited","London",,"Worker (A rating)","Skilled Worker"
"A3Pro Ltd","London",,"Worker (A rating)","Skilled Worker"
